model_name,feature_no,accuracy,f1-score,recall,precision,sensitivity,roc_auc_score
CART,5,0.6057692307692307,0.21209964412811386,0.5708812260536399,0.13024475524475523,0.5708812260536399,0.5838538164499741
CART,10,0.5610754985754985,0.18404501820589209,0.5325670498084292,0.11124449779911964,0.5325670498084292,0.5705679583974536
CART,15,0.6593660968660968,0.16280087527352297,0.3563218390804598,0.10550198525241067,0.3563218390804598,0.5438170441673549
CART,20,0.8196225071225072,0.12445980985306827,0.13793103448275862,0.11338582677165354,0.13793103448275862,0.5685807959781397
CART,25,0.8723290598290598,0.07958921694480102,0.05938697318007663,0.12062256809338522,0.05938697318007663,0.5806551393194909
adaboost,5,0.5957977207977208,0.21289875173370318,0.5881226053639846,0.12997459779847587,0.5881226053639846,0.5871967170452204
adaboost,10,0.5899216524216524,0.19784047370254265,0.5440613026819924,0.1209025117071094,0.5440613026819924,0.5978495096778269
adaboost,15,0.67752849002849,0.1719250114311843,0.36015325670498083,0.11291291291291292,0.36015325670498083,0.5838613378822956
adaboost,20,0.8116096866096866,0.14814814814814814,0.17624521072796934,0.12777777777777777,0.17624521072796934,0.6114873707629892
adaboost,25,0.8417022792022792,0.1443695861405197,0.14367816091954022,0.1450676982591876,0.14367816091954022,0.6283991233018487
logistic_regression,5,0.5957977207977208,0.21289875173370318,0.5881226053639846,0.12997459779847587,0.5881226053639846,0.6032433168313108
logistic_regression,10,0.6093304843304843,0.21586847748391708,0.578544061302682,0.13268892794376097,0.578544061302682,0.6243542850352077
logistic_regression,15,0.6098646723646723,0.2149767108563239,0.5747126436781609,0.13221683561040107,0.5747126436781609,0.6244420977575602
logistic_regression,20,0.6093304843304843,0.21921708185053382,0.5900383141762452,0.1346153846153846,0.5900383141762452,0.6308482897015044
logistic_regression,25,0.6280270655270656,0.21672290963629548,0.553639846743295,0.13473193473193473,0.553639846743295,0.65017855880331
random_forest,5,0.5957977207977208,0.21289875173370318,0.5881226053639846,0.12997459779847587,0.5881226053639846,0.592353411044772
random_forest,10,0.6166310541310541,0.21509296390812976,0.5651340996168582,0.13282305267897343,0.5651340996168582,0.6249131274566878
random_forest,15,0.6153846153846154,0.21511627906976746,0.5670498084291188,0.13273542600896862,0.5670498084291188,0.6248854861929067
random_forest,20,0.6096866096866097,0.21714285714285717,0.5823754789272031,0.1334503950834065,0.5823754789272031,0.6312991995691724
random_forest,25,0.6317663817663818,0.2190332326283988,0.5555555555555556,0.13640639698965193,0.5555555555555556,0.6503850221205324
votingclassifier,5,0.6057692307692307,0.21209964412811386,0.5708812260536399,0.13024475524475523,0.5708812260536399,0.5900054079098391
votingclassifier,10,0.5625,0.18236272878535773,0.524904214559387,0.1103503826016915,0.524904214559387,0.5703761618732578
votingclassifier,15,0.6575854700854701,0.16644993498049415,0.367816091954023,0.10756302521008404,0.367816091954023,0.5368555824822834
votingclassifier,20,0.7849002849002849,0.13218390804597702,0.17624521072796934,0.10574712643678161,0.17624521072796934,0.5106984853339591
votingclassifier,25,0.8221153846153846,0.13506493506493508,0.14942528735632185,0.12322274881516587,0.14942528735632185,0.5198550770420313
